ModSelect,A_concern_y,B_concern_y,A_concern_o,B_concern_o,lA_ex,lB_ex,l_conc,l_conc_o,l_inf,l_inf_o,l_hea,l_hea_o,stvT,I,H,Prior,cut_mod
51,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,1,3,0.5
52,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,1,4,0.5
53,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,1,5,0.5
54,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,1,6,0.5
55,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,0,1,0.5
56,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,0,2,0.5
57,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,0,3,0.5
58,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,0,4,0.5
59,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,0,5,0.5
60,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,1.5,0,0,6,0.5
61,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,1,1,0.5
62,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,1,2,0.5
63,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,1,3,0.5
64,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,1,4,0.5
65,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,1,5,0.5
66,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,1,6,0.5
67,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,0,1,0.5
68,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,0,2,0.5
69,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,0,3,0.5
70,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,0,4,0.5
71,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,0,5,0.5
72,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0,2,0,0,6,0.5
73,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,1,1,0.5
74,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,1,2,0.5
75,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,1,3,0.5
76,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,1,4,0.5
77,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,1,5,0.5
78,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,1,6,0.5
79,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,0,1,0.5
80,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,0,2,0.5
81,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,0,3,0.5
82,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,0,4,0.5
83,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,0,5,0.5
84,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.25,0,0,6,0.5
85,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,1,1,0.5
86,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,1,2,0.5
87,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,1,3,0.5
88,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,1,4,0.5
89,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,1,5,0.5
90,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,1,6,0.5
91,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,0,1,0.5
92,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,0,2,0.5
93,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,0,3,0.5
94,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,0,4,0.5
95,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,0,5,0.5
96,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.66,0,0,6,0.5
97,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,1,1,0.5
98,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,1,2,0.5
99,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,1,3,0.5
100,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,1,4,0.5
101,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,1,5,0.5
102,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,1,6,0.5
103,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,0,1,0.5
104,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,0,2,0.5
105,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,0,3,0.5
106,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,0,4,0.5
107,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,0,5,0.5
108,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,0.5,0,0,6,0.5
109,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,1,1,0.5
110,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,1,2,0.5
111,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,1,3,0.5
112,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,1,4,0.5
113,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,1,5,0.5
114,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,1,6,0.5
115,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,0,1,0.5
116,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,0,2,0.5
117,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,0,3,0.5
118,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,0,4,0.5
119,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,0,5,0.5
120,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,4,0,0,6,0.5
121,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,1,1,0.5
122,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,1,2,0.5
123,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,1,3,0.5
124,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,1,4,0.5
125,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,1,5,0.5
126,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,1,6,0.5
127,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,0,1,0.5
128,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,0,2,0.5
129,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,0,3,0.5
130,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,0,4,0.5
131,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,0,5,0.5
132,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,1.5,0,0,6,0.5
133,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,1,1,0.5
134,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,1,2,0.5
135,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,1,3,0.5
136,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,1,4,0.5
137,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,1,5,0.5
138,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,1,6,0.5
139,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,0,1,0.5
140,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,0,2,0.5
141,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,0,3,0.5
142,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,0,4,0.5
143,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,0,5,0.5
144,0.1,0.1,0,0,0,-0.025,0.2,0,0.2,0,-0.05,0,2,0,0,6,0.5
145,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,1,1,0.5
146,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,1,2,0.5
147,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,1,3,0.5
148,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,1,4,0.5
149,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,1,5,0.5
150,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,1,6,0.5
151,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,0,1,0.5
152,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,0,2,0.5
153,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,0,3,0.5
154,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,0,4,0.5
155,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,0,5,0.5
156,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.25,0,0,6,0.5
157,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,1,1,0.5
158,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,1,2,0.5
159,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,1,3,0.5
160,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,1,4,0.5
161,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,1,5,0.5
162,0.1,0.1,0,0,0,-0.025,0.3,0,0.3,0,-0.05,0,0.66,0,1,6,0.5
