ModSelect,A_concern_y,B_concern_y,A_concern_o,B_concern_o,lA_ex,lB_ex,l_conc,l_conc_o,l_inf,l_inf_o,l_hea,l_hea_o
1,0.1,0.1,0,0,0,-0.025,0.1,0,0.1,0,-0.05,0
2,0.1,0.1,0,0,-0.025,0,0.1,0,0.1,0,-0.05,0
